"kunta","vuosi","month","leave_m","leave_f","leave_mTaken","leave_fTaken","numFather","numMother","shareOver18","shareOverPaternity","shareNoLeave","shareUnderMaxMat"
"109",2009,4,263,18,263,18,61,62,0.213114754098361,0.0327868852459016,0.262295081967213,0
"091",2009,7,263,18,263,18,533,542,0.268292682926829,0.0281425891181989,0.333958724202627,0.014760147601476
"853",2009,7,263,18,263,18,141,153,0.25531914893617,0.0141843971631206,0.297872340425532,0.0326797385620915
"564",2009,4,263,18,263,18,177,184,0.27683615819209,0.0451977401129944,0.242937853107345,0.016304347826087
"091",2009,6,263,18,263,18,479,488,0.277661795407098,0.0334029227557411,0.279749478079332,0.0122950819672131
"091",2009,3,263,18,263,18,496,526,0.304435483870968,0.0423387096774194,0.310483870967742,0.0133079847908745
"092",2009,7,263,18,263,18,238,250,0.252100840336134,0.0252100840336134,0.239495798319328,0.004
"091",2009,2,263,18,263,18,431,456,0.269141531322506,0.0301624129930394,0.31554524361949,0.0131578947368421
"049",2009,1,263,18,263,18,261,268,0.28735632183908,0.053639846743295,0.245210727969349,0.0223880597014925
"398",2009,9,263,18,263,18,87,90,0.172413793103448,0.0229885057471264,0.264367816091954,0
"091",2009,5,263,18,263,18,462,478,0.270562770562771,0.051948051948052,0.283549783549784,0.0188284518828452
"434",2009,1,263,12,263,18,8,7,0.125,0,0.375,0
"092",2009,9,263,18,263,18,212,215,0.259433962264151,0.0141509433962264,0.283018867924528,0.00930232558139535
"091",2009,11,263,18,263,18,469,496,0.332622601279318,0.0597014925373134,0.281449893390192,0.0201612903225806
"049",2009,7,263,18,263,18,277,288,0.353790613718412,0.0216606498194946,0.205776173285199,0.0243055555555556
"092",2009,4,263,18,263,18,206,210,0.266990291262136,0.0242718446601942,0.281553398058252,0.00952380952380952
"091",2009,4,263,18,263,18,496,512,0.258064516129032,0.0282258064516129,0.346774193548387,0.017578125
"205",2009,7,263,18,263,18,33,36,0.181818181818182,0.0909090909090909,0.212121212121212,0.0277777777777778
"092",2009,5,263,18,263,18,215,227,0.232558139534884,0.0325581395348837,0.223255813953488,0.00881057268722467
"895",2009,2,263,17,263,18,6,6,0,0,0.333333333333333,0
"091",2009,1,263,18,263,18,502,522,0.252988047808765,0.0577689243027888,0.290836653386454,0.0172413793103448
"049",2009,4,263,18,263,18,274,284,0.27007299270073,0.0291970802919708,0.237226277372263,0.0246478873239437
"091",2009,10,263,18,263,18,532,559,0.332706766917293,0.0451127819548872,0.298872180451128,0.0125223613595707
"905",2009,12,263,18,263,18,56,56,0.267857142857143,0.0357142857142857,0.25,0.0178571428571429
"092",2009,2,263,18,263,18,191,196,0.267015706806283,0.0418848167539267,0.235602094240838,0.00510204081632653
"091",2009,8,263,18,263,18,547,570,0.314442413162706,0.0438756855575868,0.287020109689214,0.0105263157894737
"837",2009,2,263,18,263,18,153,162,0.294117647058824,0.0261437908496732,0.209150326797386,0
"905",2009,2,263,18,263,18,51,53,0.274509803921569,0.0588235294117647,0.274509803921569,0
"297",2009,9,263,18,263,18,103,106,0.262135922330097,0.0194174757281553,0.271844660194175,0
"499",2009,10,263,17,263,18,22,22,0.272727272727273,0.0454545454545455,0.181818181818182,0.0454545454545455
"609",2009,4,263,15,263,18,56,56,0.125,0,0.357142857142857,0
"560",2009,10,263,18,263,18,12,11,0.0833333333333333,0.0833333333333333,0.166666666666667,0
"091",2009,9,263,18,263,18,503,543,0.314115308151093,0.0337972166998012,0.260437375745527,0.00736648250460405
"049",2009,9,263,18,263,18,282,293,0.340425531914894,0.0354609929078014,0.280141843971631,0.0170648464163823
"832",2009,7,263,0,263,15,5,5,0,0,0.6,0
"202",2009,8,263,18,263,18,35,36,0.371428571428571,0.0285714285714286,0.228571428571429,0
"186",2009,4,263,18,263,18,38,40,0.263157894736842,0.0526315789473684,0.184210526315789,0
"532",2009,6,263,18,263,18,14,15,0.0714285714285714,0,0.285714285714286,0
"098",2009,8,263,14,263,18,23,22,0.0869565217391304,0,0.260869565217391,0
"398",2009,2,263,18,263,18,96,100,0.15625,0.0104166666666667,0.28125,0
