"postinro","vuosi","leave_m","leave_f","leave_mTaken","leave_fTaken","numFather","numMother","shareOver18","shareOverPaternity","shareNoLeave","shareUnderMaxMat"
"20540",2009,263,18,263,18,246,259,0.260162601626016,0.0569105691056911,0.272357723577236,0.00772200772200772
"15140",2009,263,17,263,18,99,106,0.242424242424242,0.0404040404040404,0.363636363636364,0.00943396226415094
"33710",2009,263,18,263,18,211,220,0.265402843601896,0.023696682464455,0.274881516587678,0.00454545454545455
"70870",2009,263,18,263,18,23,23,0.260869565217391,0.0434782608695652,0.173913043478261,0
"15550",2009,263,18,263,18,47,49,0.170212765957447,0.0212765957446809,0.234042553191489,0
"15230",2009,263,18,263,18,36,36,0.0833333333333333,0,0.277777777777778,0
"20750",2009,263,17,263,18,71,77,0.154929577464789,0.0140845070422535,0.408450704225352,0.025974025974026
"15610",2009,263,18,263,18,60,63,0.283333333333333,0,0.133333333333333,0
"41160",2009,263,18,263,18,78,82,0.217948717948718,0.0128205128205128,0.153846153846154,0
"90830",2009,263,18,263,18,127,127,0.204724409448819,0.031496062992126,0.267716535433071,0.0078740157480315
"33560",2009,263,18,263,18,103,102,0.281553398058252,0.0388349514563107,0.262135922330097,0
"40530",2009,263,18,263,18,66,67,0.287878787878788,0.0303030303030303,0.257575757575758,0.0149253731343284
"20610",2009,263,0,263,18,138,145,0.130434782608696,0.0217391304347826,0.507246376811594,0.0275862068965517
"20320",2009,263,18,263,18,134,144,0.208955223880597,0.00746268656716418,0.223880597014925,0.00694444444444444
"40620",2009,263,18,263,18,6,6,0,0,0.333333333333333,0
"40800",2009,263,18,263,18,101,104,0.267326732673267,0.0297029702970297,0.207920792079208,0.00961538461538462
"20380",2009,263,18,263,18,55,54,0.236363636363636,0.0363636363636364,0.272727272727273,0
"40270",2009,263,18,263,18,163,163,0.220858895705521,0.0306748466257669,0.226993865030675,0.00613496932515337
"33720",2009,263,18,263,18,266,284,0.203007518796992,0.0338345864661654,0.37218045112782,0.00704225352112676
"40740",2009,263,18,263,18,78,78,0.243589743589744,0.0128205128205128,0.282051282051282,0.0256410256410256
"90630",2009,263,18,263,18,152,153,0.269736842105263,0.0328947368421053,0.184210526315789,0
"40520",2009,263,18,263,18,246,256,0.268292682926829,0.0284552845528455,0.252032520325203,0
"33580",2009,263,18,263,18,208,217,0.278846153846154,0.0240384615384615,0.221153846153846,0
"71150",2009,263,18,263,18,9,9,0.333333333333333,0,0.222222222222222,0
"40420",2009,263,18,263,18,58,61,0.224137931034483,0.0344827586206897,0.189655172413793,0
"90570",2009,263,18,263,18,118,120,0.211864406779661,0.0508474576271186,0.271186440677966,0.00833333333333333
"33400",2009,263,18,263,18,75,84,0.266666666666667,0.04,0.2,0.0119047619047619
"40100",2009,263,18,263,18,93,104,0.279569892473118,0.0537634408602151,0.193548387096774,0.0192307692307692
"15300",2009,263,18,263,18,68,70,0.191176470588235,0.0294117647058824,0.25,0.0142857142857143
"90550",2009,263,18,263,18,56,64,0.214285714285714,0.0357142857142857,0.214285714285714,0.015625
"20300",2009,263,18,263,18,67,70,0.253731343283582,0.0149253731343284,0.223880597014925,0.0142857142857143
"70840",2009,263,18,263,33,52,52,0.461538461538462,0.0192307692307692,0.0961538461538462,0
"90560",2009,263,15,263,18,24,22,0.208333333333333,0.0416666666666667,0.333333333333333,0
"20740",2009,263,18,263,18,113,131,0.292035398230089,0.0530973451327434,0.221238938053097,0.0229007633587786
"33310",2009,263,5,263,18,81,88,0.123456790123457,0.0493827160493827,0.493827160493827,0.0340909090909091
"20360",2009,263,16,263,18,93,107,0.225806451612903,0.032258064516129,0.376344086021505,0.00934579439252336
"20240",2009,263,12,263,18,54,65,0.111111111111111,0.0555555555555556,0.462962962962963,0.0615384615384615
"33340",2009,263,18,263,18,61,68,0.213114754098361,0,0.163934426229508,0.0147058823529412
"70820",2009,263,18,263,18,180,194,0.144444444444444,0.0166666666666667,0.288888888888889,0.00515463917525773
"40400",2009,263,18,263,18,58,58,0.189655172413793,0.0689655172413793,0.224137931034483,0
"70420",2009,263,18,263,18,33,35,0.272727272727273,0.0303030303030303,0.121212121212121,0
"15200",2009,263,17,263,18,29,37,0.241379310344828,0.0344827586206897,0.310344827586207,0
"90520",2009,263,0,263,18,56,61,0.0535714285714286,0,0.517857142857143,0
"33250",2009,263,18,263,35,28,32,0.428571428571429,0.178571428571429,0.214285714285714,0.09375
"90540",2009,263,18,263,18,209,208,0.287081339712919,0.0334928229665072,0.15311004784689,0
"41120",2009,263,18,263,18,43,43,0.209302325581395,0,0.13953488372093,0
"90650",2009,263,18,263,18,158,166,0.335443037974684,0.0506329113924051,0.151898734177215,0.00602409638554217
"33820",2009,263,18,263,18,111,115,0.297297297297297,0.018018018018018,0.261261261261261,0.0173913043478261
"33900",2009,263,18,263,18,135,138,0.244444444444444,0.0592592592592593,0.259259259259259,0.0217391304347826
"70500",2009,263,18,263,18,41,45,0.24390243902439,0.024390243902439,0.341463414634146,0
"15540",2009,263,18,263,18,61,61,0.229508196721311,0.0163934426229508,0.229508196721311,0
"70780",2009,263,18,263,18,60,61,0.216666666666667,0,0.216666666666667,0
"20700",2009,263,18,263,18,33,36,0.333333333333333,0.121212121212121,0.272727272727273,0
"90820",2009,263,18,263,18,45,45,0.177777777777778,0,0.222222222222222,0.0222222222222222
"15500",2009,263,1,263,18,38,50,0.105263157894737,0.0263157894736842,0.5,0.02
"20900",2009,263,18,263,18,124,129,0.362903225806452,0.0403225806451613,0.217741935483871,0
"20100",2009,263,18,263,18,180,187,0.3,0.0555555555555556,0.3,0.0320855614973262
"72140",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20520",2009,263,18,263,18,20,24,0.35,0.05,0.25,0
"16100",2009,263,18,263,18,20,23,0.1,0,0.2,0.0434782608695652
"40320",2009,263,18,263,18,59,60,0.169491525423729,0.0169491525423729,0.254237288135593,0
"15800",2009,263,18,263,18,30,31,0.333333333333333,0.0333333333333333,0.266666666666667,0
"20210",2009,263,16,263,18,43,52,0.0697674418604651,0,0.395348837209302,0.0192307692307692
"20460",2009,263,17,263,18,36,37,0.111111111111111,0,0.305555555555556,0.027027027027027
"70150",2009,263,18,263,18,49,51,0.26530612244898,0.0816326530612245,0.285714285714286,0.0196078431372549
"33270",2009,263,18,263,18,79,83,0.227848101265823,0.0253164556962025,0.278481012658228,0
"20500",2009,263,18,263,36,32,31,0.34375,0.15625,0.34375,0.032258064516129
"33210",2009,263,18,263,18,27,27,0.37037037037037,0.111111111111111,0.148148148148148,0
"73500",2009,263,18,263,18,25,30,0.2,0,0.16,0
"15240",2009,263,18,263,18,74,79,0.108108108108108,0.027027027027027,0.256756756756757,0
"90810",2009,263,18,263,18,36,38,0.166666666666667,0.0277777777777778,0.166666666666667,0
"20200",2009,263,17,263,18,16,17,0.125,0,0.1875,0
"90580",2009,263,17,263,18,68,66,0.25,0.0735294117647059,0.323529411764706,0.0303030303030303
"70600",2009,263,17,263,18,37,36,0.243243243243243,0.0540540540540541,0.324324324324324,0
"33730",2009,263,18,263,18,19,20,0.473684210526316,0.0526315789473684,0,0
"33800",2009,263,18,263,18,48,51,0.291666666666667,0.0208333333333333,0.166666666666667,0
"15320",2009,263,18,263,18,34,35,0.205882352941176,0.0294117647058824,0.264705882352941,0
"90800",2009,263,18,263,18,109,117,0.275229357798165,0.018348623853211,0.348623853211009,0.00854700854700855
"41800",2009,263,18,263,18,30,30,0.0666666666666667,0,0.166666666666667,0
"33300",2009,263,18,263,18,64,64,0.296875,0,0.203125,0.015625
"20880",2009,263,18,263,18,41,39,0.317073170731707,0.0975609756097561,0.268292682926829,0
"73830",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33610",2009,263,18,263,18,62,65,0.354838709677419,0.0161290322580645,0.17741935483871,0
"70800",2009,263,18,263,18,29,29,0.310344827586207,0.103448275862069,0.241379310344828,0
"15170",2009,263,17,263,18,40,40,0.1,0.025,0.325,0.025
"15160",2009,263,18,263,18,35,37,0.171428571428571,0,0.142857142857143,0
"20810",2009,263,18,263,18,147,162,0.272108843537415,0.0680272108843537,0.285714285714286,0.0185185185185185
"71750",2009,263,18,263,18,12,12,0.166666666666667,0.0833333333333333,0.25,0
"15110",2009,263,16,263,18,24,24,0.0833333333333333,0,0.416666666666667,0
"15100",2009,263,17,263,18,49,50,0.0816326530612245,0.0204081632653061,0.346938775510204,0
"15150",2009,263,16,263,18,33,36,0.121212121212121,0,0.424242424242424,0
"33230",2009,263,18,263,18,48,50,0.3125,0.0208333333333333,0.354166666666667,0.02
"71520",2009,263,17,263,18,6,6,0,0,0.333333333333333,0
"72100",2009,263,6,263,17,11,11,0,0,0.454545454545455,0
"70300",2009,263,17,263,18,7,7,0,0,0.285714285714286,0
"71480",2009,263,18,263,18,23,23,0.217391304347826,0.0434782608695652,0.0434782608695652,0
"40200",2009,263,18,263,18,45,48,0.311111111111111,0.0222222222222222,0.155555555555556,0
"71160",2009,263,18,263,18,15,17,0,0,0.0666666666666667,0
"40250",2009,263,18,263,18,90,92,0.3,0.0555555555555556,0.133333333333333,0.0108695652173913
"15900",2009,263,12,263,18,16,16,0.125,0,0.375,0
"40630",2009,263,17,263,18,35,35,0.228571428571429,0.0285714285714286,0.371428571428571,0
"70110",2009,263,18,263,18,17,17,0.235294117647059,0,0.294117647058824,0
"70200",2009,263,18,263,18,52,54,0.25,0,0.269230769230769,0.0185185185185185
"40500",2009,263,18,263,18,48,45,0.25,0,0.25,0
"40640",2009,263,18,263,18,100,103,0.13,0.04,0.31,0.00970873786407767
"41820",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33540",2009,263,18,263,18,57,61,0.280701754385965,0.0526315789473684,0.245614035087719,0.0163934426229508
"34240",2009,263,17,263,18,22,24,0.227272727272727,0.0909090909090909,0.227272727272727,0
"70280",2009,263,18,263,18,26,26,0.230769230769231,0.115384615384615,0.307692307692308,0.0384615384615385
"15850",2009,263,18,263,18,10,12,0.2,0.1,0.2,0
"41860",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15560",2009,263,18,263,18,45,47,0.155555555555556,0.0222222222222222,0.2,0
"20720",2009,263,13,263,18,48,50,0.166666666666667,0.0208333333333333,0.375,0
"71730",2009,263,18,263,18,6,6,0.166666666666667,0,0.333333333333333,0
"90850",2009,263,16,263,18,30,32,0.0666666666666667,0,0.333333333333333,0
"33700",2009,263,18,263,18,16,17,0.25,0,0.1875,0
"40340",2009,263,0,263,18,73,84,0.0410958904109589,0.0136986301369863,0.534246575342466,0.0238095238095238
"70460",2009,263,18,263,18,40,43,0.175,0.025,0.225,0.0232558139534884
"33330",2009,263,18,263,18,66,65,0.303030303030303,0.0606060606060606,0.196969696969697,0
"70100",2009,263,18,263,18,81,82,0.209876543209877,0.0493827160493827,0.333333333333333,0
"33500",2009,263,18,263,18,78,79,0.333333333333333,0.0384615384615385,0.294871794871795,0.0126582278481013
"20250",2009,263,18,263,18,7,7,0.285714285714286,0,0.142857142857143,0
"33180",2009,263,18,263,38.5,22,24,0.454545454545455,0,0.272727272727273,0
"15950",2009,263,18,263,18,31,30,0.225806451612903,0.0645161290322581,0.32258064516129,0.0333333333333333
"90840",2009,263,18,263,18,44,45,0.272727272727273,0.0227272727272727,0.136363636363636,0
"15340",2009,263,18,263,18,33,36,0.272727272727273,0,0.242424242424242,0
"40660",2009,263,18,263,18,8,8,0.25,0,0.125,0
"90530",2009,263,18,263,18,32,32,0.28125,0.03125,0.3125,0
"40820",2009,263,11,263,17,12,13,0,0,0.416666666666667,0
"70260",2009,263,18,263,18,42,43,0.333333333333333,0,0.166666666666667,0.0232558139534884
"15830",2009,263,13,263,18,36,37,0.0833333333333333,0,0.361111111111111,0
"15680",2009,263,18,263,18,24,23,0.0833333333333333,0,0.375,0
"15210",2009,263,17,263,18,41,42,0.170731707317073,0.024390243902439,0.317073170731707,0
"41450",2009,263,18,263,18,11,11,0.272727272727273,0,0.0909090909090909,0
"33840",2009,263,17,263,18,36,39,0.138888888888889,0.0277777777777778,0.277777777777778,0.0512820512820513
"33410",2009,263,18,263,18,39,40,0.384615384615385,0.0256410256410256,0.153846153846154,0
"73300",2009,263,18,263,18,29,28,0.172413793103448,0.0344827586206897,0.206896551724138,0.0357142857142857
"33200",2009,263,11,263,18,37,34,0.27027027027027,0.0540540540540541,0.432432432432432,0
"40700",2009,263,18,263,18,37,37,0.243243243243243,0.0540540540540541,0.297297297297297,0
"41710",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70700",2009,263,17,263,18,47,48,0.191489361702128,0.0425531914893617,0.276595744680851,0
"70340",2009,263,17,263,18,29,34,0.137931034482759,0,0.275862068965517,0
"70620",2009,251,23,251,42,18,17,0.5,0.0555555555555556,0.277777777777778,0
"73320",2009,263,18,263,18,14,14,0.0714285714285714,0,0.214285714285714,0
"34260",2009,263,18,263,18,15,16,0.0666666666666667,0,0.266666666666667,0
"34270",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21330",2009,263,16,263,18,16,15,0.1875,0,0.125,0
"33680",2009,263,18,263,18,13,13,0.384615384615385,0,0.153846153846154,0
"20960",2009,263,18,263,18,18,17,0.277777777777778,0,0.166666666666667,0
"71360",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40900",2009,263,18,263,18,33,32,0.242424242424242,0,0.181818181818182,0
"71650",2009,263,6,263,18,6,5,0.166666666666667,0,0.5,0
"73360",2009,263,18,263,18,9,9,0.333333333333333,0.111111111111111,0.111111111111111,0
"33420",2009,263,17,263,18,17,18,0.176470588235294,0,0.411764705882353,0
"70940",2009,263,11,263,25.5,7,7,0.428571428571429,0,0.142857142857143,0
"33240",2009,263,0,263,29,9,10,0.222222222222222,0,0.555555555555556,0
"33520",2009,263,17,263,18,8,8,0.125,0,0.375,0
"73350",2009,263,NA,263,NA,NA,5,NA,NA,NA,0
"41880",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33530",2009,263,18,263,18,32,33,0.21875,0.03125,0.21875,0.0303030303030303
"73770",2009,263,18,263,18,9,7,0,0,0.222222222222222,0
"73460",2009,NA,18,NA,18,6,NA,0.166666666666667,0,0.166666666666667,NA
"41140",2009,263,18,263,18,14,14,0.285714285714286,0.142857142857143,0.0714285714285714,0
"71570",2009,263,18,263,18,25,26,0.36,0.04,0.12,0
"41630",2009,263,17,263,18,8,8,0.25,0,0.375,0
"15840",2009,263,17,263,18,16,16,0.0625,0,0.375,0
"20400",2009,263,18,263,18,40,42,0.15,0,0.35,0
"15520",2009,263,17,263,18,27,28,0.0740740740740741,0,0.333333333333333,0
"40720",2009,263,18,263,18,15,13,0.133333333333333,0,0.266666666666667,0
"73410",2009,263,0,263,14,5,5,0,0,0.6,0
"41930",2009,263,28,263,39.5,10,11,0.5,0.1,0.2,0
"41940",2009,263,14,263,18,21,19,0.0952380952380952,0,0.380952380952381,0
"71775",2009,263,18,263,18,8,7,0.25,0.125,0.125,0
"40600",2009,263,18,263,18,19,19,0.157894736842105,0.0526315789473684,0.105263157894737,0.0526315789473684
"73810",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15580",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41840",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71130",2009,257,10,257,26.5,6,6,0.333333333333333,0.166666666666667,0.333333333333333,0
"73310",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15810",2009,263,17,263,18,14,13,0.142857142857143,0.0714285714285714,0.214285714285714,0
"71680",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71760",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71310",2009,263,0,263,12,7,7,0.142857142857143,0,0.571428571428571,0
"71720",2009,263,18,263,18,6,6,0,0,0.166666666666667,0
"71490",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15460",2009,263,18,263,18,9,10,0.111111111111111,0,0.222222222222222,0
"21340",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70400",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70240",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70210",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73470",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73710",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71740",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71380",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71660",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90560",2010,263,18,263,18,35,33,0.285714285714286,0.0285714285714286,0.314285714285714,0.0303030303030303
"70840",2010,263,18,263,42,55,55,0.454545454545455,0.0181818181818182,0.145454545454545,0
"20540",2010,263,18,263,18,237,241,0.30379746835443,0.0253164556962025,0.354430379746835,0.029045643153527
"33270",2010,263,18,263,18,108,116,0.342592592592593,0.0277777777777778,0.277777777777778,0
"70800",2010,263,18,263,18,51,52,0.215686274509804,0.0196078431372549,0.254901960784314,0
"33710",2010,263,18,263,18,205,213,0.35609756097561,0.0585365853658537,0.219512195121951,0.00469483568075117
"40270",2010,263,18,263,18,177,175,0.395480225988701,0.0395480225988701,0.203389830508475,0.00571428571428571
"15230",2010,263,17,263,18,32,32,0.1875,0,0.375,0
"40740",2010,263,18,263,18,85,92,0.352941176470588,0.0235294117647059,0.247058823529412,0
"15800",2010,263,18,263,29,29,29,0.344827586206897,0.0344827586206897,0.310344827586207,0
"40520",2010,263,18,263,18,207,214,0.318840579710145,0.0289855072463768,0.231884057971014,0.00934579439252336
"70820",2010,263,18,263,18,167,176,0.293413173652695,0.0419161676646707,0.263473053892216,0.0113636363636364
"33580",2010,263,18,263,18,212,225,0.273584905660377,0.0235849056603774,0.216981132075472,0.00444444444444444
"20750",2010,263,6,263,18,71,78,0.169014084507042,0.0140845070422535,0.492957746478873,0
"15500",2010,263,12,263,18,52,53,0.134615384615385,0.0192307692307692,0.365384615384615,0.0188679245283019
"33720",2010,263,18,263,18,287,298,0.240418118466899,0.024390243902439,0.334494773519164,0.0167785234899329
"40340",2010,263,17,263,18,76,90,0.105263157894737,0.0263157894736842,0.328947368421053,0
"15320",2010,263,18,263,18,45,45,0.311111111111111,0.0222222222222222,0.222222222222222,0
"20360",2010,263,16,263,18,92,105,0.119565217391304,0,0.456521739130435,0.019047619047619
"90840",2010,263,18,263,18,41,40,0.292682926829268,0.0487804878048781,0.170731707317073,0
"33340",2010,263,18,263,18,68,70,0.338235294117647,0.0147058823529412,0.25,0
"15340",2010,263,18,263,18,41,40,0.24390243902439,0,0.195121951219512,0
"33200",2010,263,18,263,39,43,44,0.395348837209302,0.0697674418604651,0.302325581395349,0
"40900",2010,251,18,251,41,36,35,0.472222222222222,0.0555555555555556,0.194444444444444,0
"20200",2010,263,18,263,35,20,20,0.4,0,0.25,0
"70150",2010,263,17,263,18,60,63,0.316666666666667,0.05,0.283333333333333,0
"90650",2010,263,18,263,18,157,154,0.280254777070064,0.0254777070063694,0.24203821656051,0.00649350649350649
"90810",2010,263,18,263,18,48,47,0.3125,0.0833333333333333,0.25,0
"20810",2010,263,18,263,18,169,176,0.378698224852071,0.0414201183431953,0.218934911242604,0.0113636363636364
"20240",2010,263,16,263,18,56,62,0.125,0.0535714285714286,0.410714285714286,0
"90530",2010,263,18,263,18,43,42,0.302325581395349,0,0.325581395348837,0
